num_tokens,num_palabras,num_oraciones,num_verbs,num_nouns,num_adjs,num_advs,num_entidades,longitud_promedio_oracion,densidad_verbos,densidad_sustantivos,densidad_entidades,modelo,benchmark,label_gold_binaria,prompt
24,17,1,0,5,1,0,4,24.0,0.0,0.20833333333333334,0.16666666666666666,llama3-latest,halueval,0,What is the nationality of the writer and director of the film The Tree of Life?
138,105,7,5,30,10,2,7,19.714285714285715,0.036231884057971016,0.21739130434782608,0.050724637681159424,llama3-latest,halueval,0,ToryBoy The Movie and Divine Trash are both what genre of film?
124,105,6,14,19,5,4,9,20.666666666666668,0.11290322580645161,0.1532258064516129,0.07258064516129033,llama3-latest,halueval,0,The Louis DeSaussure House was used to house Navy officers during which 1939 to 1945 war?
36,25,1,1,2,0,1,4,36.0,0.027777777777777776,0.05555555555555555,0.1111111111111111,llama3-latest,halueval,0,"Who partnered with the writer of ""Brooklyn By The Sea"" to write the song ""A Teenager in Love""?"
26,23,1,0,3,3,0,4,26.0,0.0,0.11538461538461539,0.15384615384615385,llama3-latest,halueval,0,Reggio Emilia Cathedral is one of the three main religious buildings in the administrative region that has what city as its capital?
151,109,7,10,17,16,3,14,21.571428571428573,0.06622516556291391,0.11258278145695365,0.09271523178807947,llama3-latest,halueval,0,Are Raoul Walsh and Puneet Sira both British directors?
92,66,5,7,13,3,4,9,18.4,0.07608695652173914,0.14130434782608695,0.09782608695652174,llama3-latest,halueval,0,"She Is, is the first studio album, released on which date, by the South Korean singer-songwriter Kim Jong-hyun, better known by the mononym Jonghyun, is a South Korean singer-songwriter, and radio host?"
79,59,5,9,6,3,1,8,15.8,0.11392405063291139,0.0759493670886076,0.10126582278481013,llama3-latest,halueval,0,"What HBO original series featured an actor who also starred in the 2016 film ""The Pass""?"
59,42,4,5,8,5,1,3,14.75,0.0847457627118644,0.13559322033898305,0.05084745762711865,llama3-latest,halueval,0,"The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?"
153,127,5,12,29,13,4,12,30.6,0.0784313725490196,0.1895424836601307,0.0784313725490196,llama3-latest,halueval,0,"What children's novel told the story of Juana Maria, a Nicoleno Native American that was left alone on San Nicolas Island?"
6,5,1,0,1,0,0,1,6.0,0.0,0.16666666666666666,0.16666666666666666,llama3-latest,halueval,0,"What band released three EPs: ""Box"" in 2011, which was recorded with an earlier lineup, ""Faces"", featuring the current lineup, in 2012, and ""Salsa"" in 2016, The Naked and Famous or Residual Kid? "
102,78,6,8,16,2,3,14,17.0,0.0784313725490196,0.1568627450980392,0.13725490196078433,llama3-latest,halueval,0,"The Rolling Stones' US Tour 1978 was a concert tour of which country, that took place during June and July 1978, immediately following the release of the group's 1978 album ""Some Girls""?"
20,13,1,2,1,0,0,2,20.0,0.1,0.05,0.1,llama3-latest,halueval,0,"""Jimmy Choo"" is a song, for the upcoming album ""King Zoo"" by Willie Maxwell II, an American rapper, better known by his stage name Fetty Wap, born in which year?"
46,35,2,2,7,0,2,5,23.0,0.043478260869565216,0.15217391304347827,0.10869565217391304,llama3-latest,halueval,0,"Miracle is a song by Julian Perretta, that was a collaboration with what Belgian DJ and record producer that is best known for ""Are you with me"" and ""Reality""?"
74,46,4,6,4,1,4,14,18.5,0.08108108108108109,0.05405405405405406,0.1891891891891892,llama3-latest,halueval,0,Navarone Garibaldi is the half-brother of a singer who has been married how many times?
51,39,4,1,6,2,0,13,12.75,0.0196078431372549,0.11764705882352941,0.2549019607843137,llama3-latest,halueval,0,"Which band is from Glastonbury, Reef or Simple Plan?"
43,36,3,2,4,3,0,9,14.333333333333334,0.046511627906976744,0.09302325581395349,0.20930232558139536,llama3-latest,halueval,0,"Ettore or Edoardo Ettore Forti was an Italian painter, who was prolific in depicting realistic Neo-Pompeian scenes of Ancient Roman life and events, these subjects were popular in the late-Victorian period, as exemplified by the popularity of Lawrence Alma-Tadema, born in Dronrijp, in which country?"
150,124,6,15,29,15,4,10,25.0,0.1,0.19333333333333333,0.06666666666666667,llama3-latest,halueval,0,"What fine art painter, who is a resident of Indianapolis, Indiana, created the public mural, Ebb and Flow?"
35,30,2,3,7,0,0,7,17.5,0.08571428571428572,0.2,0.2,llama3-latest,halueval,0,"Xiaogan and Datong, are in which country?"
161,135,8,12,30,11,4,14,20.125,0.07453416149068323,0.18633540372670807,0.08695652173913043,llama3-latest,halueval,0,"Modern Jive is a dance style derived from this American dance originated in Harlem, New York City in 1928, which s frequently described as what dance?"
66,47,3,6,7,1,2,8,22.0,0.09090909090909091,0.10606060606060606,0.12121212121212122,llama3-latest,halueval,0,"When was the American actress born who is best known for her role as Amy MacDougall-Barone on the television sitcom which premiered on CBS on September 13, 1996? "
75,64,3,8,11,8,1,2,25.0,0.10666666666666667,0.14666666666666667,0.02666666666666667,llama3-latest,halueval,0,The 45-member male choir from South Australia was featured in which South Australian newspaper?
116,89,5,8,15,9,4,10,23.2,0.06896551724137931,0.12931034482758622,0.08620689655172414,llama3-latest,halueval,0,"Akira Yoshizawa was given the Order of the Rising Sun, 5th class, award by Hirohito during what era in Japanese history?"
103,81,6,8,23,7,1,6,17.166666666666668,0.07766990291262135,0.22330097087378642,0.05825242718446602,llama3-latest,halueval,0,Destiny is what while Farsa is a genre of this?
73,57,4,5,8,6,1,9,18.25,0.0684931506849315,0.1095890410958904,0.1232876712328767,llama3-latest,halueval,0,What American Idol runner-up covered Like My Mother Does?
21,15,1,3,3,0,0,4,21.0,0.14285714285714285,0.14285714285714285,0.19047619047619047,llama3-latest,halueval,0,Eric Dane co-starred in a film directed by who? 
62,51,2,3,9,4,1,6,31.0,0.04838709677419355,0.14516129032258066,0.0967741935483871,llama3-latest,halueval,0,Christopher Robin appears in the stories of what fictional anthropomorphic teddy bear?
225,182,11,14,52,32,9,11,20.454545454545453,0.06222222222222222,0.2311111111111111,0.04888888888888889,llama3-latest,halueval,0,Do The Drums and Pussy Galore play music of similar genres?
70,56,4,8,10,8,1,1,17.5,0.11428571428571428,0.14285714285714285,0.014285714285714285,llama3-latest,halueval,0,Wheatley Hills Golf Club is located in what county?
140,116,7,15,23,10,2,9,20.0,0.10714285714285714,0.16428571428571428,0.06428571428571428,llama3-latest,halueval,0,"Don Barry Mason was the founder of the Psychedelic Shamanistic Institute (PSI), which other member that's Welsh, that died on 10 April 2016?"
179,140,6,17,23,7,7,26,29.833333333333332,0.09497206703910614,0.12849162011173185,0.1452513966480447,llama3-latest,halueval,0,Which British company whose majority of its business interests are in Asia was related to the London Based Trading house Matheson & Company?
120,94,5,8,10,8,3,13,24.0,0.06666666666666667,0.08333333333333333,0.10833333333333334,llama3-latest,halueval,0,One of the musicals John Cullum won Best Leading Actor in a Musical for was a screwball comedy. What was the name of the other?
91,71,3,5,12,2,7,11,30.333333333333332,0.054945054945054944,0.13186813186813187,0.12087912087912088,llama3-latest,halueval,0,"The 2000 Belmont Stakes was the 132nd running of the Belmont Stakes and the 96th time the event took place at Belmont Park is a major Thoroughbred horse-racing facility located in Elmont, New York, just outside which city limits?"
120,93,6,10,14,9,8,12,20.0,0.08333333333333333,0.11666666666666667,0.1,llama3-latest,halueval,0,"Which movie was theatrically released first, Mary and Max or The Watercolor ?"
144,118,6,12,25,12,5,10,24.0,0.08333333333333333,0.1736111111111111,0.06944444444444445,llama3-latest,halueval,0,Are both Cissus and Ruscus considered flowering plants?
64,51,4,4,6,3,0,13,16.0,0.0625,0.09375,0.203125,llama3-latest,halueval,0,In what year was Gerald Ford's running mate from the 1976 United States presidential election the Republican presidential nominee?
28,24,2,3,0,0,0,5,14.0,0.10714285714285714,0.0,0.17857142857142858,llama3-latest,halueval,0,"Q: What venue, also called the ""Convent Garden,"" did Adrian Boult conduct for?"
75,47,4,6,7,4,2,13,18.75,0.08,0.09333333333333334,0.17333333333333334,llama3-latest,halueval,0,"Who was born first, Pavel Alexandrov or Grigory Margulis?"
44,40,2,5,4,2,0,6,22.0,0.11363636363636363,0.09090909090909091,0.13636363636363635,llama3-latest,halueval,0,"Roy Hilton played in Super Bowl V against the Cowboys, what was his position?"
27,21,1,4,3,0,0,5,27.0,0.14814814814814814,0.1111111111111111,0.18518518518518517,llama3-latest,halueval,0,Which football team won a La Liga trophy in the season that started on 29 August 1998 and finished on 20 June 1999?
115,87,3,8,15,7,1,15,38.333333333333336,0.06956521739130435,0.13043478260869565,0.13043478260869565,llama3-latest,halueval,0,"Which of the film played at 58th Berlin International Film Festival starred Jack Black, Mos Def, Melonie Diaz, Danny Glover, Mia Farrow and Sigourney Weaver?"
115,94,6,9,21,9,13,4,19.166666666666668,0.0782608695652174,0.1826086956521739,0.034782608695652174,llama3-latest,halueval,0,"Which are more widely cultivated, Persea or Rhodohypoxis?"
96,79,4,11,8,2,5,13,24.0,0.11458333333333333,0.08333333333333333,0.13541666666666666,llama3-latest,halueval,0,At which laboratory was Carsten Olsen employed as an assistant to the Danish chemist who introduced the concept of pH?
48,36,2,4,9,1,7,6,24.0,0.08333333333333333,0.1875,0.125,llama3-latest,halueval,0,Which publication is published more often: Modern Drummer or Bookmarks?
16,13,1,2,0,0,1,4,16.0,0.125,0.0,0.25,llama3-latest,halueval,0,"What year was the football team, in which Lacina Traoré is on loan from, founded?"
41,31,2,3,4,0,0,7,20.5,0.07317073170731707,0.0975609756097561,0.17073170731707318,llama3-latest,halueval,0,"What television show was written by Alex Hirsch and was produced from June 15, 2012 to February 15, 2016"
84,57,4,2,14,1,3,17,21.0,0.023809523809523808,0.16666666666666666,0.20238095238095238,llama3-latest,halueval,0,"Which is further from its city's business center, Sawyer International Airport or Burlington International Airport?"
18,15,1,1,2,1,0,4,18.0,0.05555555555555555,0.1111111111111111,0.2222222222222222,llama3-latest,halueval,0,To The Point is hosted by which former Australian politician?
32,26,2,3,4,0,1,8,16.0,0.09375,0.125,0.25,llama3-latest,halueval,0," As of September 2017, the Delta Air Lines mainline fleet comprises 852 aircraft in service, merging with Northwest Airlines in 2009, Delta Air Lines operated an all-Boeing and McDonnell Douglas fleet; it incorporated into which company's Airbus aircraft into its fleet following the merger?"
188,143,7,8,34,20,3,19,26.857142857142858,0.0425531914893617,0.18085106382978725,0.10106382978723404,llama3-latest,halueval,0,"Who was one of the first significant composers of the Romantic school, William Walton or Carl Maria von Weber?"
57,42,3,3,7,2,0,7,19.0,0.05263157894736842,0.12280701754385964,0.12280701754385964,llama3-latest,halueval,0,La Barredora was a gang that declared war on the leader of the cartel based where?
44,33,2,0,12,2,0,4,22.0,0.0,0.2727272727272727,0.09090909090909091,llama3-latest,halueval,0,"What is the name of this American television personality and musician, who is the best friend of Rob Dyrdek with whom he starred in a reality television series?"
90,70,5,8,19,5,5,8,18.0,0.08888888888888889,0.2111111111111111,0.08888888888888889,llama3-latest,halueval,0,Chibuku Shake Shake is a beer based on a traditional beer style commonly found in what country?
125,94,6,11,23,8,0,12,20.833333333333332,0.088,0.184,0.096,llama3-latest,halueval,0,Who was the husband of the the English novelist whose work provided the basis for a series of films which includes Frankenstein Meets the Wolf Man?
45,40,2,3,7,5,0,6,22.5,0.06666666666666667,0.15555555555555556,0.13333333333333333,llama3-latest,halueval,0,"Frank Bungarten is a classical guitarist from Germany, in 1981, he got noticed in the international guitar scene, when Andrés Segovia Torres, 1st Marquis of Salobreña, a virtuoso Spanish classical guitarist from Linares, Spain, honored him with the first prize at which event?"
50,39,2,4,7,3,0,4,25.0,0.08,0.14,0.08,llama3-latest,halueval,0,Innervision is a song from the studio album released on what date?
86,55,3,5,12,3,2,8,28.666666666666668,0.05813953488372093,0.13953488372093023,0.09302325581395349,llama3-latest,halueval,0,are David Trainer and Ishmael Bernal both television directors ?
36,32,2,3,7,3,0,5,18.0,0.08333333333333333,0.19444444444444445,0.1388888888888889,llama3-latest,halueval,0,Which former American football nose tackle who played college football at Oklahoma will announce the 2017 ESPN College Football Friday Primetime games?
45,36,3,2,2,2,1,6,15.0,0.044444444444444446,0.044444444444444446,0.13333333333333333,llama3-latest,halueval,0,"Gangwon State University, is a public college in Gangneung City, Gangwon Province, is which sovereign state in East Asia, constituting the southern part of the Korean Peninsula?"
45,38,3,2,6,1,1,5,15.0,0.044444444444444446,0.13333333333333333,0.1111111111111111,llama3-latest,halueval,0,Who directed the film for which Danny Michael was nominated for an Academy Award ? 
56,44,2,4,9,3,1,4,28.0,0.07142857142857142,0.16071428571428573,0.07142857142857142,llama3-latest,halueval,0,"When was the actor born who played as  Andrew ""Andy"" Holt?"
102,84,4,11,23,7,1,6,25.5,0.10784313725490197,0.22549019607843138,0.058823529411764705,llama3-latest,halueval,0,What 2017 documentary film imagines a journey by a person also known as Edith Swanneck?
28,22,1,2,5,1,0,6,28.0,0.07142857142857142,0.17857142857142858,0.21428571428571427,llama3-latest,halueval,0,Ho Mann Jahaan is a  2016 coming-of-age drama film with dialogues by a Pakistani actor from where?
175,145,8,18,35,10,5,17,21.875,0.10285714285714286,0.2,0.09714285714285714,llama3-latest,halueval,0,Are CCM Magazine and World both Christian based magazines?
45,36,4,2,7,6,0,4,11.25,0.044444444444444446,0.15555555555555556,0.08888888888888889,llama3-latest,halueval,0,What sport do both Chanda Rubin and Andy Murray play?
79,56,3,3,16,5,1,7,26.333333333333332,0.0379746835443038,0.20253164556962025,0.08860759493670886,llama3-latest,halueval,0,"Still Kicking and Casino Jack and the United States of Money, are which genre of films?"
51,36,4,2,11,2,0,5,12.75,0.0392156862745098,0.21568627450980393,0.09803921568627451,llama3-latest,halueval,0,Stomp the Yard: Homecoming is a 2010 drama film whose cast members include a rapper known for his roll as Ricky in what 2011 film?
44,30,2,5,5,0,1,7,22.0,0.11363636363636363,0.11363636363636363,0.1590909090909091,llama3-latest,halueval,0,On which novel is the 1965 film with a character Agent Zeke Kelso based?
78,59,3,3,9,3,2,12,26.0,0.038461538461538464,0.11538461538461539,0.15384615384615385,llama3-latest,halueval,0,"Monsters, Inc. Laugh Floor replaced which 1992 film shown at three Disney parks?"
40,31,1,2,4,4,1,7,40.0,0.05,0.1,0.175,llama3-latest,halueval,0,what Newark NHL team selected a Canadian professional ice hockey player in 2008?
59,43,3,7,6,2,1,6,19.666666666666668,0.11864406779661017,0.1016949152542373,0.1016949152542373,llama3-latest,halueval,0,"Yoo Seung-ho, is a South Korean actor who rose to fame as a child actor, he headlined the historical film, The Magician, a South Korean period fantasy film, released in which year, directed by Kim Dae-seung?"
137,114,5,13,20,5,2,13,27.4,0.0948905109489051,0.145985401459854,0.0948905109489051,llama3-latest,halueval,0,What person wrote the song that inspired Marvel Comics' character Rocket Raccoon?
104,77,6,6,16,11,2,13,17.333333333333332,0.057692307692307696,0.15384615384615385,0.125,llama3-latest,halueval,0,Are The House of Love and Republica from the same country?
55,38,3,2,8,5,0,5,18.333333333333332,0.03636363636363636,0.14545454545454545,0.09090909090909091,llama3-latest,halueval,0,"The actor who played Ann Perkins on NBC's ""Parks and Recreation"", was the executive producer of which romantic comedy television series ?"
131,111,5,18,19,7,8,5,26.2,0.13740458015267176,0.1450381679389313,0.03816793893129771,llama3-latest,halueval,0,"While Anatole Litvak and Kinji Fukasaku are both directors, were they both responsible for their own screenplays as well?"
51,43,2,2,10,2,1,5,25.5,0.0392156862745098,0.19607843137254902,0.09803921568627451,llama3-latest,halueval,0,The term phrase structure grammar was originally introduced by a linguist that is a laureate professor at what university?
111,88,6,12,15,8,3,12,18.5,0.10810810810810811,0.13513513513513514,0.10810810810810811,llama3-latest,halueval,0,"In what year did an English stand-up comedian whose style focuses on rambling, whimsical monologue, and self-referential pantomime produce the show Cows?"
152,129,6,7,15,16,1,23,25.333333333333332,0.046052631578947366,0.09868421052631579,0.1513157894736842,llama3-latest,halueval,0,What is Bern Minster's branch of Protestantism called?
63,49,4,2,5,4,0,9,15.75,0.031746031746031744,0.07936507936507936,0.14285714285714285,llama3-latest,halueval,0,Are Guadarrama National Park and Teide National Park both in the Spanish mainland?
111,94,5,7,12,5,5,11,22.2,0.06306306306306306,0.10810810810810811,0.0990990990990991,llama3-latest,halueval,0,"The Vernita Bridge is a bridge in the Hanford Reach National Monument near which mostly decommissioned nuclear production complex , on Washington State Route 24 over the Columbia River?"
158,129,5,14,14,10,2,20,31.6,0.08860759493670886,0.08860759493670886,0.12658227848101267,llama3-latest,halueval,0,"Who restored then1824 constitution and was called ""the man of Destiny""?"
170,127,11,7,34,13,6,27,15.454545454545455,0.041176470588235294,0.2,0.1588235294117647,llama3-latest,halueval,0,"What  is a low-cost airline headquartered at Gurgaon, that is the largest airline in India, the third largest domestic airline being the flag carrier airline of India ?"
46,38,3,5,8,2,1,1,15.333333333333334,0.10869565217391304,0.17391304347826086,0.021739130434782608,llama3-latest,halueval,0,At which University does the father of the lead singer of The Joggers work ?
41,32,2,5,5,0,0,7,20.5,0.12195121951219512,0.12195121951219512,0.17073170731707318,llama3-latest,halueval,0,"What television series written by Dan Guterman and directed by Dominic Polcino premiered on July 26th, 2015?"
25,18,1,2,2,0,0,4,25.0,0.08,0.08,0.16,llama3-latest,halueval,0,Interstate 20 travels through what Rockdale County city in Georgia?
25,21,1,1,4,1,1,5,25.0,0.04,0.16,0.2,llama3-latest,halueval,0,Shelley Duncan play baseball for what team that's home venue is Tropicana Field?
89,75,3,9,13,8,1,0,29.666666666666668,0.10112359550561797,0.14606741573033707,0.0,llama3-latest,halueval,0,Where was the theater where   A New Day was performed located? 
44,35,2,4,7,0,1,7,22.0,0.09090909090909091,0.1590909090909091,0.1590909090909091,llama3-latest,halueval,0,The band US5 originated on which reality show and then debuted on Lou Pearlman's Transcontinental label?
50,29,2,4,5,1,0,6,25.0,0.08,0.1,0.12,llama3-latest,halueval,0,"Do the films ""Return to Oz"" and ""Cars 3"" have the same director?"
17,13,1,1,1,0,0,4,17.0,0.058823529411764705,0.058823529411764705,0.23529411764705882,llama3-latest,halueval,0,"Renée Montagne succeeded which American broadcast journalist, a Peabody Award-winning member of the National Radio Hall of Fame?"
83,55,4,6,8,5,2,7,20.75,0.07228915662650602,0.0963855421686747,0.08433734939759036,llama3-latest,halueval,0,"The South Korean actress and model whose real name is Kim Soo-hyun, starred in an MBC show in 2016 that replaced which show?"
89,64,4,12,9,2,2,9,22.25,0.1348314606741573,0.10112359550561797,0.10112359550561797,llama3-latest,halueval,0,"Who created the character in ""The Closer"" in which the actor also played in the movie ""Mannequin""?"
56,46,2,4,11,3,1,5,28.0,0.07142857142857142,0.19642857142857142,0.08928571428571429,llama3-latest,halueval,0,I Am Missing You was a song that included a contribution by the session drummer of what nationality?
61,49,2,6,7,7,2,2,30.5,0.09836065573770492,0.11475409836065574,0.03278688524590164,llama3-latest,halueval,0,Who is an English footballer who plays as a midfielder for the club originally known as Kirkham & Wesham?
36,24,2,2,0,1,2,7,18.0,0.05555555555555555,0.0,0.19444444444444445,llama3-latest,halueval,0,"Who is older, Colin Hay or David Draiman?"
40,30,2,1,4,0,0,8,20.0,0.025,0.1,0.2,llama3-latest,halueval,0,The character Ben Whishaw played is the head of what kind of division of the British Secret Service?
47,36,3,3,4,1,1,7,15.666666666666666,0.06382978723404255,0.0851063829787234,0.14893617021276595,llama3-latest,halueval,0,"The Acolytes Protection Agency consisted of what wrestler born November 29, 1966"
40,34,1,2,2,2,0,6,40.0,0.05,0.05,0.15,llama3-latest,halueval,0,"James Clark McReynolds (February 3, 1862 – August 24, 1946) was an American lawyer and judge who served as United States Attorney General under President Woodrow Wilson and as an Associate Justice of the United States Supreme Court, he served on the Court, during the presidency of which 30th President of the United States (1923–29)?"
151,116,7,9,25,11,1,17,21.571428571428573,0.059602649006622516,0.16556291390728478,0.11258278145695365,llama3-latest,halueval,0,What form of theater do Sean Pol McGreevy and Mack and Mabel have in common?
130,105,8,10,17,10,2,17,16.25,0.07692307692307693,0.13076923076923078,0.13076923076923078,llama3-latest,halueval,0,Where was the location of the first settlement in this province in which Phillip Calvert was a Governor?
59,49,3,5,4,4,2,5,19.666666666666668,0.0847457627118644,0.06779661016949153,0.0847457627118644,llama3-latest,halueval,0,"Leigh Silverman was nominated for the 2014 Tony Award, Best Direction for a musical based on which short story ?"
98,83,6,9,11,3,1,8,16.333333333333332,0.09183673469387756,0.11224489795918367,0.08163265306122448,llama3-latest,halueval,0,Which city in New South Wales has both a newspaper called The Democrat and is responsible for the government of the local area?
47,37,2,3,6,1,0,8,23.5,0.06382978723404255,0.1276595744680851,0.1702127659574468,llama3-latest,halueval,0,"Cole Younger was a character on Bronco, which was featured on what network from 1958 to 1962?"
65,54,4,2,15,6,2,3,16.25,0.03076923076923077,0.23076923076923078,0.046153846153846156,llama3-latest,halueval,0,Buck Wolf is a former fashion editor from what weekly celebrity magazine?
88,78,3,8,17,9,1,5,29.333333333333332,0.09090909090909091,0.19318181818181818,0.056818181818181816,llama3-latest,halueval,0,What is the lead a character in a play whose cast includes an American actress known primarily for her work in theatre?
209,172,9,26,35,17,6,18,23.22222222222222,0.12440191387559808,0.1674641148325359,0.0861244019138756,llama3-latest,halueval,0,what mutiny in India was thwarted by MI5(b) during World War I?
28,19,1,2,2,0,1,6,28.0,0.07142857142857142,0.07142857142857142,0.21428571428571427,llama3-latest,halueval,0,"The 1950 BRDC International Trophy included what entrant from Bourne, Lincolnshire, England?"
87,71,5,7,17,5,3,5,17.4,0.08045977011494253,0.19540229885057472,0.05747126436781609,llama3-latest,halueval,0,What is a common ingredient for both a Mimosa cocktail and a Bronx cocktail?
228,182,12,16,35,18,6,31,19.0,0.07017543859649122,0.15350877192982457,0.13596491228070176,llama3-latest,halueval,0,"Who was a Canadian film producer, director, actor and screenwriter, Randal Kirk II or Sidney Olcott?"
36,26,2,2,4,3,0,3,18.0,0.05555555555555555,0.1111111111111111,0.08333333333333333,llama3-latest,halueval,0,"What is the name of the South Korean model and actor, who starred in Who Are You: School 2015?"
71,53,4,8,6,2,2,7,17.75,0.11267605633802817,0.08450704225352113,0.09859154929577464,llama3-latest,halueval,0,Plastic is a British-American action comedy-crime film starring an English actress best known for playing the role of Hannah Ashworth in what long-running soap opera?
15,11,1,1,2,0,0,2,15.0,0.06666666666666667,0.13333333333333333,0.13333333333333333,llama3-latest,halueval,0,IN what city were stations WAAM-TV and WJZ-TV located?
41,33,3,5,4,4,1,1,13.666666666666666,0.12195121951219512,0.0975609756097561,0.024390243902439025,llama3-latest,halueval,0,"When was the album that ""Charger"" was on released?"
35,32,1,1,5,1,0,5,35.0,0.02857142857142857,0.14285714285714285,0.14285714285714285,llama3-latest,halueval,0, Sheila Mullen is a Scottish painter whose works are in the permanents collection of the senior patrilineal descendant of who?
61,51,3,8,7,6,0,1,20.333333333333332,0.13114754098360656,0.11475409836065574,0.01639344262295082,llama3-latest,halueval,0,The Developing Communities Project's first executive director was which former President?
58,48,3,7,14,4,0,3,19.333333333333332,0.1206896551724138,0.2413793103448276,0.05172413793103448,llama3-latest,halueval,0,Ken Lee is a businessman who co-founded a retailing company that is specialized in which products ?
128,103,6,11,20,8,1,6,21.333333333333332,0.0859375,0.15625,0.046875,llama3-latest,halueval,0,What 2001 novel by Britney Spears is dedicated to an American author and mother of film and television producer Bryan Spears and country singer Jamie Lynn Spears?
281,215,16,18,36,16,1,32,17.5625,0.06405693950177936,0.12811387900355872,0.11387900355871886,llama3-latest,halueval,0,"what was the names of the people who were largely influenced by its past and present neighbours: Italy, Poland, Germany, Hungary, and Bohemia called from 1867 to 1918?"
99,84,6,9,18,9,0,8,16.5,0.09090909090909091,0.18181818181818182,0.08080808080808081,llama3-latest,halueval,0,Are Working for a Nuclear Free City and The Innocence Mission both based in the United States?
70,58,4,6,3,0,1,10,17.5,0.08571428571428572,0.04285714285714286,0.14285714285714285,llama3-latest,halueval,0,Stagger Lee was developed in collaboration with the school of arts at what university founded in 1911?
28,22,1,2,2,0,0,4,28.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,llama3-latest,halueval,0,Arthur Noss won a Military Cross as the gunner of a soldier born in which year ?
73,60,3,6,14,4,0,9,24.333333333333332,0.0821917808219178,0.1917808219178082,0.1232876712328767,llama3-latest,halueval,0,Luke Day was known for his leadership role in an armed uprising in Massachusetts that ended in what year?
5,4,1,0,1,0,0,1,5.0,0.0,0.2,0.2,llama3-latest,halueval,0,"Kompania Piwowarska is a Polish brewing group based in Poznań, established in 1999, it currently has three breweries total, Tyskie Browary Książęce in Tychy, which Polish brand of beer, its name comes from the brewery located in the Upper Silesia town of Tychy?"
155,118,6,9,25,12,2,14,25.833333333333332,0.05806451612903226,0.16129032258064516,0.09032258064516129,llama3-latest,halueval,0,"Van Gogh is a 1991 French film written and directed by Maurice Pialat, the film follows the last 67 days of Van Gogh's life and explores his relationships with his brother Theo, and his physician, most famous as the subject of which of Van Gogh's paintings, it's one of the most revered paintings by the Dutch artist, it depicts which person, who took care of Van Gogh during the final months of his life?"
56,43,4,3,4,2,1,6,14.0,0.05357142857142857,0.07142857142857142,0.10714285714285714,llama3-latest,halueval,0,"What sport are both the 2015 City of Onkaparinga ATP Challenger and Happy Valley, South Australia known for?"
